"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"204","CA1009258","SAN ANDREAS FARMS","Fresno","Community water system",NA,NA,NA
"205","CA1000603","TWIN VALLEY'S RESTAURANT","Fresno","Transient non-community system",NA,NA,NA
"206","CA1502033","GOLDEN STATE VINTNERS-FRANZIA MCFARLAND","Kern","Transient non-community system",NA,NA,NA
"207","CA5500157","USFS PINECREST REC AREA","Tuolumne","Non-Transient non-community system",NA,NA,NA
"208","CA3302009","SAM S FENCE","Riverside","Community water system",NA,NA,NA
"209","CA0900555","MATTERHORN MOTEL","El Dorado","Transient non-community system",NA,NA,NA
"210","CA0900557","EMERALD PINES RESORT CABINS","El Dorado","Transient non-community system",NA,NA,NA
"211","CA4900786","RANCHO SANTA ROSA MHP","Sonoma","Community water system",NA,NA,NA
"212","CA4400901","DAVENPORT CP","Santa Cruz","Non-Transient non-community system",NA,NA,NA
"213","CA5401065","FANCHER CREEK PACKING INC","Tulare","Non-Transient non-community system",NA,NA,NA
"214","CA0900211","MOTHER LODE RIVER CENTER","El Dorado","Transient non-community system",NA,NA,NA
"215","CA0900408","MADRONE MONTESSORI SCHOOL","El Dorado","Non-Transient non-community system",NA,NA,NA
"216","CA4300922","SIMONSEN LABORATORIES, INC.","Santa Clara","Non-Transient non-community system",NA,NA,NA
"217","CA1900733","JUBILEE SCOUT RANCH","Los Angeles","Transient non-community system",NA,NA,NA
"218","CA0310020","THE OAKS MOBILE HOME PARK","Amador","Community water system",NA,NA,NA
"219","CA2900572","FIVE MILE HOUSE WATER SYSTEM","Nevada","Transient non-community system",NA,NA,NA
"220","CA5500260","USFS BOULDER FLAT","Tuolumne","Transient non-community system",NA,NA,NA
"221","CA1909015","21ST CENTURY HOLINESS TABERNACLE CHURCH","Los Angeles","Transient non-community system",NA,NA,NA
"222","CA5500236","MAYNORDS RECOVERY CENTER","Tuolumne","Transient non-community system",NA,NA,NA
"223","CA2600633","WHITMORE POOL","Mono","Transient non-community system",NA,NA,NA
"224","CA2900540","FOREST LAKE CHRISTIAN SCHOOL","Nevada","Non-Transient non-community system",NA,NA,NA
"225","CA0104010","MORTON SALT COMPANY","Alameda","Non-Transient non-community system",NA,NA,NA
"226","CA5105007","RIVER RANCH CAMP W.S.","Sutter","Transient non-community system",NA,NA,NA
"227","CA4300995","UESUGI FARMS","Santa Clara","Transient non-community system",NA,NA,NA
"228","CA0900108","GOLD COUNTRY BAPTIST CHURCH","El Dorado","Transient non-community system",NA,NA,NA
"229","CA0900646","AL TAHOE ELEM/STMS (WATER SYS)","El Dorado","Non-Transient non-community system",NA,NA,NA
"230","CA1909007","OUR LADY OF FATIMA SCHOOL - HOLY FAMILY","Los Angeles","Non-Transient non-community system",NA,NA,NA
"231","CA3310015","ELSINORE VALLEY MWD - TEMESCAL","Riverside","Community water system",NA,NA,NA
"232","CA1900236","CAMP PAIGE-AFFGBAUGH","Los Angeles","Community water system",NA,NA,NA
"233","CA0600004","RIVER VISTA FARMS","Colusa","Transient non-community system",NA,NA,NA
"234","CA5103002","PLEASANT GROVE STORE & CAFE","Sutter","Transient non-community system",NA,NA,NA
"235","CA1700723","RANCHO DE LA FUENTE","Lake","Transient non-community system",NA,NA,NA
"236","CA1900702","FOLLOWS CAMP","Los Angeles","Community water system",NA,NA,NA
"237","CA1900554","USFS-LITTLE JIMMY A-13","Los Angeles","Transient non-community system",NA,NA,NA
"238","CA1900131","USFS-TEXAS CANYON STATION S-3","Los Angeles","Transient non-community system",NA,NA,NA
"239","CA1900987","USFS-OAK FLATS CAMPGROUND S-13","Los Angeles","Transient non-community system",NA,NA,NA
"240","CA1900736","USFS-LITTLEROCK CAMP V-10, LAKESIDE V-9","Los Angeles","Transient non-community system",NA,NA,NA
"241","CA1900729","USFS-LOS CANTILLES S-2","Los Angeles","Transient non-community system",NA,NA,NA
"242","CA1000330","KINGS CANYON LODGE","Fresno","Transient non-community system",NA,NA,NA
"243","CA1000591","SUMNER PECK RANCH WINERY & FRUIT STAND","Fresno","Transient non-community system",NA,NA,NA
"244","CA5205008","RIVERMILL LLC.","Tehama","Non-Transient non-community system",NA,NA,NA
"245","CA1503482","RIO MESA MUTUAL WATER COMPANY","Kern","Community water system",NA,NA,NA
"246","CA4901195","MOORLAND AVENUE APARTMENTS","Sonoma","Community water system",NA,NA,NA
"247","CA1200779","REDWOOD MEMORIAL HOSPITAL","Humboldt","Non-Transient non-community system",NA,NA,NA
"248","CA4901307","WASHOE CREEK GOLF COURSE","Sonoma","Transient non-community system",NA,NA,NA
"249","CA0105003","CEMEX/ELIOT PLANT","Alameda","Non-Transient non-community system",NA,NA,NA
"250","CA3400381","PITTS STOP RESTAURANT","Sacramento","Transient non-community system",NA,NA,NA
"251","CA4800780","DIXON FRUIT MARKET","Solano","Transient non-community system",NA,NA,NA
"252","CA2500511","UNION PACIFIC RR-LIKELY","Modoc","Transient non-community system",NA,NA,NA
"253","CA3500577","COLE RD MWC","San Benito","Community water system",NA,NA,NA
"254","CA5400894","CAMP SAN JOAQUIN","Tulare","Transient non-community system",NA,NA,NA
"255","CA2903174","DARK HORSE GOLF CLUB WATER SYSTEM","Nevada","Transient non-community system",NA,NA,NA
"256","CA4900922","SMOTHER'S WATER SYSTEM","Sonoma","Transient non-community system",NA,NA,NA
"257","CA4901098","THUNDERBIRD RANCH","Sonoma","Transient non-community system",NA,NA,NA
"258","CA3610061","DWP - SUGARLOAF/ERWIN LAKE","San Bernardino","Community water system",NA,NA,NA
"259","CA1700564","INDIAN VALLEY WATER SYSTEM - YOLO COUNTY","Lake","Transient non-community system",NA,NA,NA
"260","CA5700541","DAVIS GOLF COURSE","Yolo","Transient non-community system",NA,NA,NA
"261","CA2110011","U.S. COAST GUARD - PT. REYES","Marin","Non-Transient non-community system",NA,NA,NA
"262","CA3100077","DRY CREEK ELEMENTARY SCHOOL","Placer","Non-Transient non-community system",NA,NA,NA
"263","CA3100119","MIDDLE MEADOWS CAMPGROUND","Placer","Transient non-community system",NA,NA,NA
"264","CA3200108","TEN-TWO BAR & GRILL","Plumas","Transient non-community system",NA,NA,NA
"265","CA3500817","LICO LABOR CAMP","San Benito","Community water system",NA,NA,NA
"266","CA1900888","CAMP SHALOM / JCA","Los Angeles","Transient non-community system",NA,NA,NA
"267","CA2710003","MONTE DEL LAGO MHC","Monterey","Community water system",NA,NA,NA
"268","CA4000504","VISTA DE LAS FLORES WATER","San Luis Obispo","Community water system",NA,NA,NA
"269","CA4000632","HIDDEN HILLS MOBILODGE","San Luis Obispo","Community water system",NA,NA,NA
"270","CA3200106","FEATHER RIVER INN","Plumas","Transient non-community system",NA,NA,NA
"271","CA3400384","NEW MOON RIVER INN (SWS)","Sacramento","Transient non-community system",NA,NA,NA
"272","CA3400412","SACRAMENTO SIKH SOCIETY","Sacramento","Transient non-community system",NA,NA,NA
"273","CA1900591","STURTEVANT CAMP, UNITED METHODIST","Los Angeles","Transient non-community system",NA,NA,NA
"274","CA1700505","KELLY'S KAMP","Lake","Transient non-community system",NA,NA,NA
"275","CA1009172","VAQUERO FARMS","Fresno","Community water system",NA,NA,NA
"276","CA1000001","ALDER SPRINGS","Fresno","Community water system",NA,NA,NA
"277","CA5403129","TRACT 403 MUTUAL WATER CO","Tulare","Community water system",NA,NA,NA
"278","CA2300823","USFS-EEL RIVER CAMP","Mendocino","Transient non-community system",NA,NA,NA
"279","CA3700823","BARRETT HONOR CAMP","San Diego","Non-Transient non-community system",NA,NA,NA
