"","PWS.ID","PWS.Name.x","Counties.Served.x","PWS.Type.2015","PWS.Name.y","PWS.Type","Counties.Served.y"
"437","CA3301305",NA,NA,NA,"WHITE'S STEEL, INC.","Non-Transient non-community system","Riverside"
"438","CA3600509",NA,NA,NA,"SLASH X RANCH CAFE","Transient non-community system","San Bernardino"
"439","CA4901465",NA,NA,NA,"LAMBERT BRIDGE WINERY","Transient non-community system","Sonoma"
"440","CA1310300",NA,NA,NA,"PICACHO STATE RESERVATION AREA","Transient non-community system","Imperial"
"441","CA2600641",NA,NA,NA,"WALKER COUNTRY STORE B.C.D.C.","Transient non-community system","Mono"
"442","CA4400913",NA,NA,NA,"ST CLARE'S RETREAT","Transient non-community system","Santa Cruz"
"443","CA2400334",NA,NA,NA,"CALIFORNIA SWEET POTATO GROWERS COOP","Transient non-community system","Merced"
"444","CA2400337",NA,NA,NA,"KANDOLA FARMS PRODUCE, INC.","Transient non-community system","Merced"
"445","CA4410307",NA,NA,NA,"CSP SADDLE MOUNTAIN","Transient non-community system","Santa Cruz"
"446","CA4410308",NA,NA,NA,"CSP- KIRKWOOD ENTRANCE","Transient non-community system","Santa Cruz"
"447","CA3600393",NA,NA,NA,"LONE WOLF COLONY","Non-Transient non-community system","San Bernardino"
"448","CA5000604",NA,NA,NA,"GROWER DIRECT NUT - SERVICE RD","Non-Transient non-community system","Stanislaus"
"449","CA3705073",NA,NA,NA,"SAN YSIDRO HEALTH - MHFM","Non-Transient non-community system","San Diego"
"450","CA5500221",NA,NA,NA,"PINECREST ELEMENTARY SCHOOL","Non-Transient non-community system","Tuolumne"
"451","CA2702519",NA,NA,NA,"MONTEREY VALLEY PRIDE-ALISAL RD WS","Non-Transient non-community system","Monterey"
"452","CA3303087",NA,NA,NA,"SAN JOSE COMMUNITY WATER SYSTEM","Community water system","Riverside"
"453","CA2300515",NA,NA,NA,"MENDOCINO COAST BOTANICAL GARDENS","Transient non-community system","Mendocino"
"454","CA3301183",NA,NA,NA,"ELIM FOOLISH PLEASURE","Transient non-community system","Riverside"
"455","CA2300516",NA,NA,NA,"NORCAL GASOLINE","Transient non-community system","Mendocino"
"456","CA2300789",NA,NA,NA,"THE LAND","Transient non-community system","Mendocino"
"457","CA2708852",NA,NA,NA,"FAITH AND FAMILY FARMS WS","Non-Transient non-community system","Monterey"
"458","CA1503687",NA,NA,NA,"COSTAJO ARCO AMPM","Transient non-community system","Kern"
"459","CA1700710",NA,NA,NA,"HIDDEN VALLEY FOOD MART","Transient non-community system","Lake"
"460","CA5403204",NA,NA,NA,"FOUR STAR FRUIT","Non-Transient non-community system","Tulare"
"461","CA4300998",NA,NA,NA,"HENRY W COE STATE PARK - DOWDY RANCH","Transient non-community system","Santa Clara"
"462","CA2400327",NA,NA,NA,"LDS CHURCH MERCED","Transient non-community system","Merced"
"463","CA2300952",NA,NA,NA,"REDWOOD DRIVE-IN","Transient non-community system","Mendocino"
"464","CA4000831",NA,NA,NA,"CENTER OF EFFORT WINERY","Transient non-community system","San Luis Obispo"
"465","CA2600576",NA,NA,NA,"BRIDGEPORT RESERVOIR MARINA AND CG","Transient non-community system","Mono"
"466","CA4000224",NA,NA,NA,"PRECISION MUTUAL WATER COMPANY","Non-Transient non-community system","San Luis Obispo"
"467","CA2300877",NA,NA,NA,"BLACKBIRD FARM","Transient non-community system","Mendocino"
"468","CA1400096",NA,NA,NA,"TECOPA HOT SPRINGS PARK","Transient non-community system","Inyo"
"469","CA3710045",NA,NA,NA,"POSEIDON RESOURCES - CDP","Community water system","San Diego"
"470","CA4100522",NA,NA,NA,"REDWOOD GLEN CAMP & CONFERENCE CTR","Community water system","San Mateo"
